Specified Grade Level,Expected,Actual
2,2,8.49616812
2,2,8.95302656
2,2,10.1391489
3,3,8.2351378
3,3,10.5206341
3,3,11.8384172
4,4,11.2932221
4,4,10.4110714
4,4,13.0223404
5,5,10.3495781
5,5,12.5542929
5,5,11.0479708
6,6,9.98089109
6,6,13.3222857
6,6,8.45955793
7,7,11.026749
7,7,14.13
7,7,11.1959615
8,8,12.58333333
8,8,14.34178571
8,8,11.49674531
